Sample	SampleType	SampleInfo	dorado version	basecall model version	fast	hac	hacdup	sup	supdup	mods	pod5
Salmonella bongori 1224.72 DSM 13772	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-13772	1.0.0	5.2.0	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459751/PAW78174_barcode07.dorado1.0.0.bm5.2.0_fast.sim.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459752/PAW78174_barcode07.dorado1.0.0.bm5.2.0_hac.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459753/PAW78174_barcode07.dorado1.0.0.bm5.2.0_sup.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459754/PAW78174_barcode07.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789838/PAW78174_barcode07.tar.gz
Burkholderia cenocepacia J2315 DSM 16553	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-16553	0.8.2	5.0.0	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251423/PAW78174_barcode06.dorado0.8.2.bm5.0.0.fast.sim.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251424/PAW78174_barcode06.dorado0.8.2.bm5.0.0.hac.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251425/PAW78174_barcode06.dorado0.8.2.bm5.0.0.sup.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294006/PAW78174_barcode06.dorado0.8.2.bm5.0.0.sup.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789839/PAW78174_barcode06.tar.gz
Burkholderia cenocepacia J2315 DSM 16553	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-16553	1.0.0	5.2.0	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459747/PAW78174_barcode06.dorado1.0.0.bm5.2.0_fast.sim.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459748/PAW78174_barcode06.dorado1.0.0.bm5.2.0_hac.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459749/PAW78174_barcode06.dorado1.0.0.bm5.2.0_sup.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459750/PAW78174_barcode06.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789839/PAW78174_barcode06.tar.gz
Sphaerobacter thermophilus S 6022 DSM 20745	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-20745	0.8.2	5.0.0	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251426/PAW78174_barcode10.dorado0.8.2.bm5.0.0.fast.sim.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251427/PAW78174_barcode10.dorado0.8.2.bm5.0.0.hac.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251428/PAW78174_barcode10.dorado0.8.2.bm5.0.0.sup.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294007/PAW78174_barcode10.dorado0.8.2.bm5.0.0.sup.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789840/PAW78174_barcode10.tar.gz
Sphaerobacter thermophilus S 6022 DSM 20745	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-20745	1.0.0	5.2.0	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459759/PAW78174_barcode10.dorado1.0.0.bm5.2.0_fast.sim.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459760/PAW78174_barcode10.dorado1.0.0.bm5.2.0_hac.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459761/PAW78174_barcode10.dorado1.0.0.bm5.2.0_sup.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459762/PAW78174_barcode10.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789840/PAW78174_barcode10.tar.gz
Zymomonas mobilis subsp. pomaceae Barker I DSM 22645	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-22645	0.8.2	5.0.0	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251429/PAW78174_barcode08.dorado0.8.2.bm5.0.0.fast.sim.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251430/PAW78174_barcode08.dorado0.8.2.bm5.0.0.hac.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251431/PAW78174_barcode08.dorado0.8.2.bm5.0.0.sup.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294008/PAW78174_barcode08.dorado0.8.2.bm5.0.0.sup.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789841/PAW78174_barcode08.tar.gz
Zymomonas mobilis subsp. pomaceae Barker I DSM 22645	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-22645	1.0.0	5.2.0	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459755/PAW78174_barcode08.dorado1.0.0.bm5.2.0_fast.sim.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459756/PAW78174_barcode08.dorado1.0.0.bm5.2.0_hac.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459757/PAW78174_barcode08.dorado1.0.0.bm5.2.0_sup.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459758/PAW78174_barcode08.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789841/PAW78174_barcode08.tar.gz
Methanocaldococcus jannaschii JAL-1 DSM 2661	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-2661	0.8.2	5.0.0	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251432/PAW78174_barcode04.dorado0.8.2.bm5.0.0.fast.sim.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251433/PAW78174_barcode04.dorado0.8.2.bm5.0.0.hac.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251434/PAW78174_barcode04.dorado0.8.2.bm5.0.0.sup.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294009/PAW78174_barcode04.dorado0.8.2.bm5.0.0.sup.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789842/PAW78174_barcode04.tar.gz
Methanocaldococcus jannaschii JAL-1 DSM 2661	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-2661	1.0.0	5.2.0	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459739/PAW78174_barcode04.dorado1.0.0.bm5.2.0_fast.sim.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459740/PAW78174_barcode04.dorado1.0.0.bm5.2.0_hac.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459741/PAW78174_barcode04.dorado1.0.0.bm5.2.0_sup.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459742/PAW78174_barcode04.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789842/PAW78174_barcode04.tar.gz
Sphaerotilus natans 6 DSM 6575	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-6575	0.8.2	5.0.0	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251435/PAW78174_barcode03.dorado0.8.2.bm5.0.0.fast.sim.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251436/PAW78174_barcode03.dorado0.8.2.bm5.0.0.hac.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251437/PAW78174_barcode03.dorado0.8.2.bm5.0.0.sup.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294010/PAW78174_barcode03.dorado0.8.2.bm5.0.0.sup.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789843/PAW78174_barcode03.tar.gz
Sphaerotilus natans 6 DSM 6575	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-6575	1.0.0	5.2.0	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459735/PAW78174_barcode03.dorado1.0.0.bm5.2.0_fast.sim.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459736/PAW78174_barcode03.dorado1.0.0.bm5.2.0_hac.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459737/PAW78174_barcode03.dorado1.0.0.bm5.2.0_sup.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459738/PAW78174_barcode03.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789843/PAW78174_barcode03.tar.gz
Thermanaerovibrio acidaminovorans Su883 DSM 6589	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-6589	0.8.2	5.0.0	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251438/PAW78174_barcode02.dorado0.8.2.bm5.0.0.fast.sim.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251439/PAW78174_barcode02.dorado0.8.2.bm5.0.0.hac.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14251440/PAW78174_barcode02.dorado0.8.2.bm5.0.0.sup.sim.fastq.gz	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14294011/PAW78174_barcode02.dorado0.8.2.bm5.0.0.sup.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789844/PAW78174_barcode02.tar.gz
Thermanaerovibrio acidaminovorans Su883 DSM 6589	monoculture	https://www.dsmz.de/collection/catalogue/details/culture/DSM-6589	1.0.0	5.2.0	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459731/PAW78174_barcode02.dorado1.0.0.bm5.2.0_fast.sim.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459732/PAW78174_barcode02.dorado1.0.0.bm5.2.0_hac.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459733/PAW78174_barcode02.dorado1.0.0.bm5.2.0_sup.sim.bam	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459734/PAW78174_barcode02.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14789844/PAW78174_barcode02.tar.gz
wwtp_NL-09	metagenome	wwtp_NL-09	1.0.0	5.2.0	NA	NA	NA	NA	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459716/PAQ87691.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	NA
wwtp_IL-01	metagenome	wwtp_IL-01	1.0.0	5.2.0	NA	NA	NA	NA	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459718/PAQ87858.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	NA
wwtp_US2-26	metagenome	wwtp_US2-26	1.0.0	5.2.0	NA	NA	NA	NA	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459717/PAQ87710.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	NA
wwtp_IN-06	metagenome	wwtp_IN-06	1.0.0	5.2.0	NA	NA	NA	NA	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459720/PAQ95921.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	NA
wwtp_US1-124	metagenome	wwtp_US1-124	1.0.0	5.2.0	NA	NA	NA	NA	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459719/PAQ87909.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	NA
sediment_MFD04716	metagenome	https://github.com/cmc-aau/mfd_metadata/blob/main/analysis/releases/latest_mfd_db.xlsx	1.0.0	5.2.0	NA	NA	NA	NA	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459710/MFD04716.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	NA
sediment_MFD00905	metagenome	https://github.com/cmc-aau/mfd_metadata/blob/main/analysis/releases/latest_mfd_db.xlsx	1.0.0	5.2.0	NA	NA	NA	NA	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459707/MFD00905.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	NA
sediment_MFD05674	metagenome	https://github.com/cmc-aau/mfd_metadata/blob/main/analysis/releases/latest_mfd_db.xlsx	1.0.0	5.2.0	NA	NA	NA	NA	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459711/MFD05674.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	NA
sediment_MFD10007	metagenome	https://github.com/cmc-aau/mfd_metadata/blob/main/analysis/releases/latest_mfd_db.xlsx	1.0.0	5.2.0	NA	NA	NA	NA	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459715/MFD10007.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	NA
sediment_MFD09779	metagenome	https://github.com/cmc-aau/mfd_metadata/blob/main/analysis/releases/latest_mfd_db.xlsx	1.0.0	5.2.0	NA	NA	NA	NA	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459714/MFD09779.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	NA
soil_MFD00392	metagenome	https://github.com/cmc-aau/mfd_metadata/blob/main/analysis/releases/latest_mfd_db.xlsx	1.0.0	5.2.0	NA	NA	NA	NA	NA	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15459706/MFD00392.dorado1.0.0.bm5.2.0_sup.sim.mod4mC_5mC_6mA.bam	NA
